应用编号,应用名称,页面链接,版本号,下载链接,文件大小,应用类型,开发者,更新时间,图片链接,可执行文件
120,VLC媒体播放器,http://app.loongapps.cn/detail/120,3.0.11-3+deb10u1.lnd.5,http://app.loongapps.cn:8090/upload/file/vlc_3.0.11-3+deb10u1.lnd.5_loongarch64.deb,141.7 KB,音乐应用,开源软件,2023-06-19T14:58:40,http://app.loongapps.cn:8090/upload/image/202110211534519.png,/usr/bin/vlc --started-from-file
1607,TINT俄罗斯方块,http://app.loongapps.cn/detail/1607,0.05+nmu2,http://app.loongapps.cn:8090/upload/file/tint_0.05+nmu2_loongarch64.deb,25.7KB,游戏娱乐,开源软件,2023-05-30T17:04:55,http://app.loongapps.cn:8090/upload/image/2023053017023866.png,sh /usr/games/tint.sh
1532,javamorph变形电影制作程序,http://app.loongapps.cn/detail/1532,0.0.20100201-1.5,http://app.loongapps.cn:8090/upload/file/javamorph_0.0.20100201-1.4_all.deb,948.1KB,图像图形,开源软件,2023-05-17T11:09:20,http://app.loongapps.cn:8090/upload/image/2023051711065868.png,/usr/bin/javamorph
1444,秘塔写作猫,http://app.loongapps.cn/detail/1444,1.3.1-1,http://app.loongapps.cn:8090/upload/file/xiezuocat_1.3.1-1_loongarch64.deb,21KB,办公应用,上海秘塔网络科技有限公司,2023-03-30T11:36:36,http://app.loongapps.cn:8090/upload/image/2023032116292260.png,/opt/apps/xiezuocat/files/xiezuocat
351,Brasero光盘刻录,http://app.loongapps.cn/detail/351,brasero_3.12.2-5.lnd.3,http://app.loongapps.cn:8090/upload/file/brasero_3.12.2-5.lnd.3_loongarch64.deb,700.4 KB,其他应用,开源软件,2022-11-10T17:03:03,http://app.loongapps.cn:8090/upload/image/2022032915194316.png,brasero
411,pluma文本编辑器,http://app.loongapps.cn/detail/411,1.20.4-1.lnd.2,http://app.loongapps.cn:8090/upload/file/pluma_1.20.4-1.lnd.2_loongarch64.deb,376.8 KB,办公应用,开源软件,2022-08-16T16:07:57,http://app.loongapps.cn:8090/upload/image/2022040714252872.png,pluma
248,Blender三维图像编辑,http://app.loongapps.cn/detail/248,2.79.b+dfsg0-7.lnd.2,http://app.loongapps.cn:8090/upload/file/blender_2.79.b+dfsg0-7.lnd.2_loongarch64.deb,23.0 MB,图像图形,开源软件,2022-08-15T16:24:43,http://app.loongapps.cn:8090/upload/image/2022021711522439.jpg,blender
1114,万得,http://app.loongapps.cn/detail/1114,24.1.7.05090,http://app.loongapps.cn:8090/upload/file/com.wind.wft-kylinV10SP1_24.1.7.05090_loongarch64.deb,272.4 MB,办公应用,上海万得信息技术股份有限公司,2024-06-04T11:15:06,http://app.loongapps.cn:8090/upload/image/2022071814293576.png,"""/opt/apps/com.wind.wft/files/bin/wmain.sh"""
1113,泰山Office,http://app.loongapps.cn/detail/1113,5.0.0.352,http://app.loongapps.cn:8090/upload/file/cn.ts-it.office_5.0.0.352_loongarch64_trial.deb,365.6MB,办公应用,泰山信息科技有限公司,2024-02-27T16:43:00,http://app.loongapps.cn:8090/upload/image/2022071814252750.png,/opt/apps/cn.ts-it.office/files/ts-office %F
636,华宇拼音输入法,http://app.loongapps.cn/detail/636,2.4.8.207,http://app.loongapps.cn:8090/upload/file/HuayuPY_loongarch_fcitx_2.4.8.207.deb,58.6 MB,办公应用,北京华宇信息技术有限公司,2024-02-27T16:58:00,http://app.loongapps.cn:8090/upload/image/2022050718033017.png,/usr/share/fcitx-huayupy/huayupy_daemon_fcitx_starter
575,cytadela射击游戏,http://app.loongapps.cn/detail/575,1.1.0-4.1.lnd.1,http://app.loongapps.cn:8090/upload/file/cytadela_1.1.0-4.1.lnd.1_loongarch64.deb,118.8 KB,游戏娱乐,开源软件,2022-04-28T09:10:19,http://app.loongapps.cn:8090/upload/image/2022042809004212.png,cytadela
423,mystiq媒体转换器,http://app.loongapps.cn/detail/423,20.05.10-1,http://app.loongapps.cn:8090/upload/file/mystiq_20.05.10-1_loongarch64.deb,630.0 KB,视频播放,开源软件,2022-04-11T15:10:16,http://app.loongapps.cn:8090/upload/image/2022041115090440.png,mystiq
413,Code::Blocks集成开发环境,http://app.loongapps.cn/detail/413,16.01+dfsg-2.1.lnd.2,http://app.loongapps.cn:8090/upload/file/codeblocks_16.01+dfsg-2.1.lnd.2_loongarch64.deb,2.4 MB,编程开发,开源软件,2024-03-14T10:38:06,http://app.loongapps.cn:8090/upload/image/2022040714395733.png,codeblocks
363,shadered调色器,http://app.loongapps.cn/detail/363,1.5.6-1,http://app.loongapps.cn:8090/upload/file/shadered_1.5.6-1_loongarch64.deb,25.5 MB,图像图形,开源软件,2022-03-30T15:37:10,http://app.loongapps.cn:8090/upload/image/2022033015360231.png,shadered
362,hevcesbrowser比特流分析工具,http://app.loongapps.cn/detail/362,1.0.0-1,http://app.loongapps.cn:8090/upload/file/hevcesbrowser_1.0.0-1_loongarch64.deb,17.4 MB,网络应用,开源软件,2022-03-30T15:08:20,http://app.loongapps.cn:8090/upload/image/2022033015071539.png,hevcesbrowser
358,picturecutting图片剪裁工具,http://app.loongapps.cn/detail/358,1.0.0-1,http://app.loongapps.cn:8090/upload/file/picturecutting_1.0.0-1_loongarch64.deb,24.6 KB,图像图形,开源软件,2022-03-30T11:36:55,http://app.loongapps.cn:8090/upload/image/2022033011364080.png,/usr/local/picturecutting/PictureCutting
318,space-shooter射击游戏,http://app.loongapps.cn/detail/318,1.0-1.lnd.1,http://app.loongapps.cn:8090/upload/file/space-shooter_1.0-1.lnd.1_loongarch64.deb,25.8 MB,游戏娱乐,开源软件,2022-03-17T10:48:45,http://app.loongapps.cn:8090/upload/image/2022031710480115.png,/usr/games/space-shooter/space-shooter.sh
231,Motrix 全能下载工具,http://app.loongapps.cn/detail/231,1.8.19-1,http://app.loongapps.cn:8090/upload/file/motrix_1.8.19-1_loongarch64.deb,90 MB,网络应用,开源软件,2024-05-09T10:26:12,http://app.loongapps.cn:8090/upload/image/2022011916185262.png,/opt/Motrix/motrix
220,软件包安装器,http://app.loongapps.cn/detail/220,1.0.0-2,http://app.loongapps.cn:8090/upload/file/appinstaller_1.0.0-2.lnd.1_loongarch64.deb,93.6 KB,其他应用,龙芯中科（山西）技术有限公司,2024-04-29T17:10:30,http://app.loongapps.cn:8090/upload/image/2022011816202380.jpg,/opt/apps/appinstaller/apps/AppInstall
209,bluefish编辑器,http://app.loongapps.cn/detail/209,2.2.10-1.1,http://app.loongapps.cn:8090/upload/file/bluefish_2.2.10-1.1_loongarch64.deb,244.1 KB,"编程开发,办公应用",开源软件,2024-03-14T10:35:51,http://app.loongapps.cn:8090/upload/image/2022011317095020.png,bluefish
201,极域课堂互动教学系统软件（国产OS版）学生端,http://app.loongapps.cn/detail/201,2.7.3605-1.0.101+10751gch2024,http://app.loongapps.cn:8090/upload/file/mythware-cms-student_2.7.3605-1.0.101+10751gch2024_loongarch64.deb,41.7 MB,办公应用,南京极域信息科技有限公司,2024-03-18T09:14:22,http://app.loongapps.cn:8090/upload/image/2021122809115558.png,/opt/mythware/classroom-management/Student
200,极域课堂互动教学系统软件（国产OS版）教师端,http://app.loongapps.cn/detail/200,2.7.3605-1.0.101+10751gch2024,http://app.loongapps.cn:8090/upload/file/mythware-cms-teacher_2.7.3605-1.0.101+10751gch2024_loongarch64.deb,43.7 MB,教育学习,南京极域信息科技有限公司,2024-03-18T09:14:01,http://app.loongapps.cn:8090/upload/image/2021122809082323.png,/opt/mythware/classroom-management/Teacher
146,龙吟翻译,http://app.loongapps.cn/detail/146,1.0.2,http://app.loongapps.cn:8090/upload/file/interpreter-depend_1.0.2_loongarch64.deb,2.9MB,办公应用,云顶书院,2024-04-10T17:37:25,http://app.loongapps.cn:8090/upload/image/2021111109223554.png,/usr/local/longyin/interpreter
118,Audacity音频编辑器,http://app.loongapps.cn/detail/118,2.2.2-1.1,http://app.loongapps.cn:8090/upload/file/audacity_2.2.2-1.1_loongarch64.deb,55.2 MB,音乐应用,开源软件,2024-03-14T10:37:10,http://app.loongapps.cn:8090/upload/image/2021102114473078.png,audacity
